id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
57818,50% OFF Monthly 32+days! Snowbird!  Walk to beach!,275948,Von Inc,,Hollywood,26.01859,-80.1243,Entire home/apt,250,31,60,2024-03-08,0.43,2,299,2,
83449,2 miles from the beach 2/1 sleeps 5 #204,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,85,7,32,2024-04-27,0.21,10,12,5,
129099,MIAMI - AMAZING APARTMENT OCEANVIEW,637272,Bianca,,Hollywood,25.99414,-80.11814,Entire home/apt,110,15,28,2024-03-14,0.18,5,358,1,
191160,Tropical Beach Paradise Awaits You,924482,Dan,,Deerfield Beach,26.30707,-80.07793,Entire home/apt,119,2,25,2019-11-08,0.16,1,179,0,
216046,Dual Masters! - Adult Media/Game Rm - 1GB Internet,964836,Gary,,Hollywood,26.0077,-80.19722,Entire home/apt,,2,111,2024-04-13,0.73,1,265,10,
217990,COSY APT OVER THE BEACH,637272,Bianca,,Hollywood,25.99398,-80.11677,Entire home/apt,250,10,18,2018-03-19,0.12,5,365,0,
241944,Mary Pop Apartments #102 Sleeps 3,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,80,7,14,2024-01-08,0.10,10,0,2,
256386,Country Living for Four,1304156,Nicolas,,Hollywood,26.02584,-80.14191,Entire home/apt,98,2,264,2024-05-25,1.74,4,352,27,
308839,Fabulous & Private 475 sq ft Suite,1585064,Deborah,,Miramar,25.98766,-80.31598,Private room,75,181,49,2023-02-25,0.33,2,204,0,
325734,Hidden Gem for two,1304156,Nicolas,,Hollywood,26.0257,-80.14105,Entire home/apt,48,2,226,2024-05-18,1.63,4,356,23,
349538,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,329,1,36,2024-02-23,0.24,22,66,2,
366178,Tropical Guest House - Heart of Ft. Lauderdale!,1848829,Shirley,,Fort Lauderdale,26.12683,-80.13549,Entire home/apt,89,7,47,2024-06-21,0.32,2,245,18,
367815,SPECTACULAR DIRECT OCEANFRONT VIEWS - Amazing,238902,Wanda,,Hollywood,26.00741,-80.11596,Entire home/apt,150,90,8,2019-04-01,0.05,1,358,0,
393982,Charming Comfort... Ft Lauderdale Home,1848829,Shirley,,Fort Lauderdale,26.12676,-80.13657,Entire home/apt,99,7,33,2024-02-25,0.23,2,193,6,
436596,Beautiful Water Front House w/ Pool,2168585,Lou,,Pompano Beach,26.21709,-80.12193,Entire home/apt,385,7,2,2015-01-06,0.02,1,363,0,
438860,1 bedroom - Condo on the Beach,1889394,Juan,,Fort Lauderdale,26.1772,-80.09872,Entire home/apt,175,3,159,2024-05-12,1.10,1,268,16,
484515,MIAMI- AMAZING APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99276,-80.11819,Entire home/apt,297,7,25,2021-03-19,0.17,5,364,0,
533847,"Private, Tranquil & Beautiful Suite",1585064,Deborah,,Miramar,25.98653,-80.31554,Private room,57,180,49,2024-05-08,0.34,2,173,2,
592583,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,479,1,30,2024-03-09,0.21,22,21,3,
658344,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,359,1,29,2024-03-23,0.20,22,17,3,
680331,"Oceanfront Condo in Hollywood, FL",3463815,Nelson,,Hollywood,25.98806,-80.11844,Entire home/apt,149,3,38,2024-05-27,0.29,1,331,6,
695109,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,329,1,26,2024-03-21,0.18,22,17,4,
695242,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,429,1,41,2024-03-23,0.29,22,49,4,
716990,Beautiful house Central Ft. Lauderdale!,3696537,David & Sindy,,Fort Lauderdale,26.14284,-80.1256,Entire home/apt,550,20,210,2018-03-18,1.48,1,365,0,
722515,"Luxury 5 Bedroom Art Villa, Heated Pool, Hot tub",2609518,Bram,,Hollywood,26.0073,-80.15713,Entire home/apt,558,3,295,2024-06-17,2.08,2,209,17,
765598,Enjoy A Garden Eden By The Beach!,4036922,Gail,,Fort Lauderdale,26.16618,-80.11688,Entire home/apt,400,3,68,2024-03-31,0.49,1,287,3,
806019,Walk 2 BEACH! 40% OFF Monthly 32Days+ Snowbirds!,275948,Von Inc,,Hollywood,26.01857476677565,-80.12626867947289,Entire home/apt,191,32,0,,,2,297,0,
901497,Mary Pop Apartments ( Studio ) LAST MINUTE OK,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,55,7,100,2021-06-26,0.72,10,0,0,
915364,Fully furnished studio efficiency with murphy bed.,4913859,Patrick,,Hollywood,26.02478,-80.1479,Entire home/apt,75,29,19,2023-05-19,0.28,1,0,0,
916342,2 miles from the beach sleeps 3,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,79,7,27,2024-03-25,0.22,10,12,3,
1002995,Master bedroom at Fort lauderdale Golf Course view,5514632,Tony,,Lauderhill,26.1782,-80.22414,Private room,61,1,22,2024-01-27,0.18,12,179,1,
1038248,Mins from Everywhere-Private 3/2 House,240212,Elisa And Stephen,,Pembroke Pines,26.01745,-80.25884,Entire home/apt,267,4,29,2024-04-04,0.22,1,90,6,
1069095,Room in Fort lauderdale.,5514632,Tony,,North Lauderdale,26.21665,-80.22905,Private room,69,1,14,2017-03-25,0.12,12,144,0,
1076949,Key West Style Bungalow,1931430,Ana,,Fort Lauderdale,26.11755,-80.15623,Entire home/apt,118,2,62,2024-05-01,0.48,1,90,12,
1097406,Aladdin's palace,6030918,Fatima,,Hollywood,26.01865,-80.16066,Entire home/apt,199,1,143,2024-03-15,1.07,1,365,5,
1117425,Cute Villa w/POOL 250 yds to *BEACH*,6133059,Lauderdale,,Lauderdale By The Sea,26.19678,-80.09716,Entire home/apt,101,5,120,2024-05-03,0.97,2,267,11,
1118565,Elegant Condo 250 yds from Lauderdale *BEACH*,6133059,Lauderdale,,Lauderdale By The Sea,26.19217,-80.09839,Entire home/apt,98,5,93,2024-04-10,0.69,2,318,4,
1147098,3BR/3FBA/2OceanView Terraces/Patio/Parking,6288957,Olga,,Hollywood,26.00715,-80.11813,Entire home/apt,248,3,24,2024-04-06,0.48,5,138,3,
1149806,Cozy Suite in Fort Lauderdale,6302818,Omar A.,,Oakland Park,26.16956,-80.13086,Entire home/apt,171,3,203,2024-03-25,1.51,1,307,4,
1176802,Tides beautiful ocean view condo-promotions,6439113,Ines,,Hollywood,25.9898,-80.11838,Entire home/apt,160,3,150,2024-06-23,1.25,2,309,10,
1246824,Hollywood Perfect Beach House,6794297,Patrick,,Hollywood,26.00989,-80.13893,Entire home/apt,185,4,1,2015-07-03,0.01,1,365,0,
1293741,Sian 2/2 ocean front & ocean view,6321234,Jason,,Hallandale Beach,25.9866,-80.11803,Entire home/apt,207,3,302,2024-06-25,2.27,1,1,24,
1305586,Oceanfront 1 Bedroom 2 Bath Penthouse,3018206,Lawrence,,Hollywood,25.9942,-80.11883,Entire home/apt,83,29,8,2024-04-03,0.06,2,303,2,
1309185,Oceanfront 1bd/1br condo HOLLYWOOD BEACH,7116670,Tamara,,Hollywood,25.98839,-80.11767,Entire home/apt,155,3,61,2024-05-27,2.45,1,66,24,
1312899,SANITIZED 2 BEDROOMS APT  SAWGRASS MALL,6204254,Florida Trend,,Plantation,26.12531,-80.32422,Entire home/apt,117,30,78,2023-07-01,0.60,4,319,1,
1375343,Small House for two,1304156,Nicolas,,Hollywood,26.02767,-80.14192,Entire home/apt,60,2,243,2024-06-10,2.01,4,365,29,
