id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
505101,Unique neighborhood cottage,2490712,Stacie,,Bozeman,45.67934,-111.04756,Entire home/apt,197,3,249,2024-08-10,1.70,1,273,23,STR20-00155
1913774,Downtown Bozeman Vacation Rental,9892898,Brian,,Bozeman,45.68422,-111.03839,Entire home/apt,184,2,507,2024-09-03,3.86,2,153,70,STR22-00028
1950545,Northside Hideaway,8224408,Paul,,Bozeman,45.68563,-111.03118,Entire home/apt,197,3,37,2024-06-22,0.30,22,332,2,str20-00211
2390321,2 Blocks 2 Main,7849959,Irene,,Bozeman,45.67434,-111.0333,Entire home/apt,200,3,48,2024-08-18,0.47,2,237,5,STR22-00083
2536175,Modern Home Near Campus & Downtown,8287259,Kris And Alex,,Bozeman,45.66473,-111.03977,Entire home/apt,242,3,305,2024-09-03,2.46,1,324,39,STR20-00308
2839082,"Charming downtown home, Bogart park",1577112,Zack,,Bozeman,45.6757,-111.03284,Entire home/apt,,90,69,2024-08-21,0.65,1,62,3,STR21-00060
2968623,Sunny Bozeman MSU Cottage,15146634,Frances,,Bozeman,45.67241,-111.04913,Entire home/apt,129,2,194,2024-09-02,1.75,1,118,20,STR23-00143
3372306,Lovely 2BR Bozeman Cottage near Main St,190138,Anna,,Bozeman,45.68444,-111.04357,Entire home/apt,199,30,69,2024-04-26,0.57,1,312,2,
4008507,"The Loft: near MSU, private entry, kitchen & baths",20738079,Lori,,Bozeman,45.66932,-111.04256,Entire home/apt,208,2,256,2024-09-04,2.28,1,328,46,STR22-00101
4134363,Yellow Dogs Cottage: Unique Large Downtown Cottage,21447984,Sharon,,Bozeman,45.67114,-111.04041,Entire home/apt,235,3,97,2024-08-27,0.81,3,135,11,Exempt
6662056,Modern Loft-House: Big Sky Country,34871220,Ehson,,Bozeman,45.65955,-111.02278,Entire home/apt,165,30,161,2024-08-31,1.46,1,329,4,
6783856,Remote Worker's Dream,35514344,Janette,,Bozeman,45.679,-111.08748,Entire home/apt,250,30,15,2021-03-07,0.13,1,363,0,
6800497,Your Private Suite 1 block from heart of Downtown,16264310,Kent,,Bozeman,45.67712,-111.03485,Entire home/apt,182,2,358,2024-08-31,3.38,1,344,34,Str20-00361
6881306,Downtown Victorian Apartment - Little Pink Houses,36057505,Kathi,,Bozeman,45.68133,-111.03998,Entire home/apt,113,2,76,2024-08-18,0.88,1,240,19,STR23-00192
6970499,Downtown Red Chair Retreat,36548325,Doug,,Bozeman,45.68185,-111.04333,Entire home/apt,129,3,378,2024-08-26,3.56,2,56,36,STR23-00001
