id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
155305,Cottage! BonPaul + Sharky's Hostel,746673,BonPaul,,28806,35.57864,-82.59578,Entire home/apt,99,1,437,2024-06-09,2.78,8,147,49,
156805,"Private Room ""Ader"" at BPS Hostel",746673,BonPaul,,28806,35.57864,-82.59578,Private room,66,1,67,2020-01-01,0.43,8,249,0,
156926,"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",746673,BonPaul,,28806,35.57864,-82.59578,Shared room,26,1,339,2024-04-11,2.17,8,189,11,
197263,Tranquil Room & Private Bath,961396,Timo,,28806,35.57735,-82.63804,Private room,49,2,82,2024-04-21,0.57,2,88,13,
209068,Terrace Cottage,1029919,Kevin,,28804,35.61736,-82.55074,Entire home/apt,100,30,65,2024-05-29,0.42,1,199,6,
246315,Asheville Dreamer's Cabin,1292070,Annie,,28805,35.59615,-82.50635,Private room,68,7,53,2019-10-30,0.35,3,39,0,
259576,"Private, Peaceful, and Free Goat Therapy",1362726,Julia,,28805,35.61966,-82.48065,Entire home/apt,113,2,838,2024-06-18,5.49,1,34,52,
314540,Asheville Urban Farmhouse Entire Home 4.6 mi to DT,381660,Tom,,28806,35.58561,-82.62731,Entire home/apt,268,1,24,2024-06-02,0.16,1,40,18,
427497,Luxurious Mountain Guest Suite Apartment,1909922,Milan,,28803,35.49088,-82.48602,Entire home/apt,159,2,47,2023-09-04,0.33,1,365,1,
433646,Room in Historic Arts and Craft Home,1931430,Ana,,28801,35.57575,-82.55943,Private room,129,2,113,2022-10-30,0.77,2,90,0,
436476,"8 min Walk to DT AVL! Hip, Chic % Sparkling CLEAN",478398,Heidi,,28801,35.60153,-82.5604,Entire home/apt,131,2,408,2024-06-02,2.78,3,2,37,
483384,"Romantic, Moroccan-Influenced Cottage",467421,Camille,,28806,35.56921,-82.57349,Entire home/apt,119,1,774,2024-05-30,6.53,1,268,70,
498089,Super Quiet Urban Getaway Walk Downtown,2164379,Anne Marie,,28801,35.61225509643555,-82.54288482666016,Entire home/apt,125,30,134,2022-01-31,0.92,1,177,0,
621243,"The Birdhouse
Sweet suite! Downtown Roof top deck!",3079174,Molly,,28801,35.60415,-82.54893,Entire home/apt,160,30,142,2024-05-27,1.86,2,257,12,
660702,Cozy Asheville Retreat,3335271,Brady,,28804,35.621288,-82.553017,Entire home/apt,85,1,780,2024-06-05,7.67,1,0,70,
674894,Lovely mountain home with a view!,614610,Linda,,28805,35.62277,-82.50258,Private room,59,2,257,2024-05-27,1.89,2,343,7,
723349,#2 Blue Ridge Room at Oakland Cottage B&B,3736218,Mary,,28801,35.57468,-82.55705,Private room,229,2,14,2022-11-27,0.12,7,324,0,
815068,"Lovely cottage 10 minutes north, quiet.",1111171,Tom,,28804,35.64371,-82.52456,Entire home/apt,69,30,312,2023-10-31,2.23,1,169,1,
840696,❤VIEWS! Luxury home near DOWNTOWN close 2 Biltmore,4390477,Michael,,28801,35.58371,-82.56111,Entire home/apt,289,2,588,2024-06-15,4.21,1,293,49,
846221,Town and Mountain Peaceful Retreat,4418555,Bart,,28804,35.643550872802734,-82.51139831542969,Entire home/apt,177,2,124,2022-10-29,0.91,1,178,0,
875735,Asheville artist  bungalow. 3 minutes to downtown,4632589,Jason,,28805,35.58513,-82.50484,Private room,65,2,214,2024-06-11,1.61,1,355,17,
881707,West A'ville sanctuary in the trees,4664726,Jakub & Maria,,28806,35.56754,-82.59657,Entire home/apt,84,3,1027,2024-06-13,7.87,3,303,98,
942934,"""ZenShe"" ... Very Clean, Quiet and Convenient",5100332,Pat,,28806,35.57244,-82.58949,Private room,68,2,671,2024-06-17,4.89,1,143,41,
943832,"Asheville Montford Cottage, Walk To Town, 30 Days",5107042,Terri,,28806,35.60991,-82.57838,Entire home/apt,221,2,157,2023-05-07,1.17,2,325,0,
976034,Urban Peace 5 ml from Downtown AVL,5340154,Ar,,28803,35.55542,-82.48316,Entire home/apt,145,2,171,2023-12-30,1.25,1,363,8,
977054,The Cottage In Asheville,4302936,Anne & Joe,,28804,35.61541,-82.55572,Entire home/apt,130,30,81,2023-10-31,0.60,1,263,3,
1039028,The Cottage on Parkway Loop,4143638,Tim And Muffi,,28803,35.55197,-82.49282,Entire home/apt,105,2,294,2024-06-08,2.20,2,125,33,
1066156,Lucky W Cottage- #1 Host in US,4834939,Jessica,,28804,35.64745,-82.51644,Entire home/apt,161,2,728,2024-06-18,5.35,2,283,66,
1127777,W Asheville Modern Meets Zen (No Cleaning Fees),6187751,Hun,,28806,35.57436,-82.59227,Private room,100,2,329,2024-05-27,2.46,1,175,11,
1297717,"Lovely, peaceful mountain retreat",614610,Linda,,28805,35.62266,-82.50397,Entire home/apt,79,2,101,2023-02-25,0.76,2,160,0,
1312301,Mid Century Modern Basement Apt..,7130739,Marta,,28805,35.58235,-82.49974,Entire home/apt,81,2,95,2024-01-07,0.71,1,335,4,
1332684,Sweet Studio - Walk West Asheville,2799158,Kari,,28806,35.58182,-82.59267,Entire home/apt,68,2,509,2024-05-27,3.86,1,0,11,
1392363,Explorers Retreat 2 mi to Downtown & River Arts,7527127,Theo,,28804,35.62642,-82.57905,Entire home/apt,115,2,107,2024-05-19,1.50,3,3,14,
1393012,HUGE SUITE (king bed) & huge bath-PRIVATE ACCESS,7523601,Karen,,28704,35.46248,-82.53867,Private room,79,1,140,2024-05-27,1.08,1,87,15,
1421061,Garden studio next to downtown Asheville,483350,Emilio And Kate,,28803,35.57776,-82.5369,Entire home/apt,120,2,145,2023-11-12,1.09,1,111,6,
1475299,"Bright, clean - perfect location",1566145,Gayle,,28804,35.64446,-82.52653,Entire home/apt,173,3,32,2024-05-31,0.25,2,304,6,
1569954,Charming cottage bordered by stream,8348149,Deborah,,28801,35.61185,-82.55216,Private room,150,30,38,2015-11-02,0.29,1,364,0,
1571095,Perfectly Located Studio Apartment In Asheville,8345942,Sherry,,28803,35.57388,-82.5385,Entire home/apt,91,2,135,2024-04-22,1.47,1,64,9,
1574329,#7 Rose Room - Oakland Cottage B&B,3736218,Mary,,28801,35.57478,-82.55719,Private room,180,2,5,2021-06-29,0.05,7,330,0,
1586906,"Hidden treasure near Downtown, UNCA",5601328,Mary,,28801,35.60852,-82.56335,Private room,90,2,303,2024-06-09,2.32,1,268,24,
1684109,10 Minutes to Downtown  Epic Views!,4117051,Louise And Steve,,28805,35.60792,-82.48789,Entire home/apt,279,3,173,2024-06-16,1.33,3,300,13,
1728187,"Welcoming walkable North Asheville, Pets OK",320564,Lisa,,28801,35.60644,-82.55594,Entire home/apt,200,90,57,2024-05-02,0.47,1,248,6,
1768955,Furnished Apartment Walk to Downtown,12874214,David,,28801,35.60368,-82.55647,Entire home/apt,93,2,174,2024-06-14,1.34,2,342,51,
1827412,Downtown Asheville Classic Style - Great Value!-#9,7625694,John,,28801,35.59103,-82.54959,Private room,84,1,498,2024-05-19,3.94,8,332,13,
1851921,"Guest suite - private entrance, hot tub, walkable",1816805,Audrey,,28801,35.59467,-82.54444,Entire home/apt,,3,45,2024-02-19,0.49,1,0,5,
1879067,West Asheville - Canie Creek Getaway,313613,Alyson,,28806,35.56772,-82.61632,Entire home/apt,99,2,104,2024-06-09,2.83,1,235,25,
2072026,"Super Central Studio! Pets, 2 miles to Dntn",8533528,Susan,,28804,35.63821,-82.54841,Entire home/apt,104,2,419,2024-06-19,3.33,1,125,31,
2176375,Guest House & Private Patio,11100294,Jane,,28806,35.56934,-82.58782,Entire home/apt,59,29,225,2023-12-31,1.79,2,274,4,
2222067,Sassy Blue Room in Southslope,11336944,Sharon,,28801,35.58263,-82.55769,Entire home/apt,99,2,409,2024-06-08,4.02,1,139,21,
2254521,The Mimosa Room/private entrance/private bath.,546222,Martha,,28806,35.56766,-82.56802,Private room,65,28,36,2021-08-31,0.29,1,336,0,
2296152,"Victorian Cottage Downtown - ""Green Room Aerie”",7535860,Rita,,28801,35.60388,-82.56129,Private room,80,1,1059,2024-06-07,8.41,2,329,92,
2326086,Downtown Artist Loft,2307713,Krista,,28801,35.59541,-82.55329,Entire home/apt,124,1,829,2024-06-13,6.58,2,266,107,
2411109,"Victorian Cottage Downtown - ""Blue Room""",7535860,Rita,,28801,35.60113,-82.55785,Private room,79,1,1180,2024-05-30,9.46,2,327,96,
2454666,"The Hideaway, W. Asheville.  2 BR Apt w/ Hot Tub!",10240937,Joe,,28806,35.57881,-82.58688,Entire home/apt,165,2,357,2024-06-16,2.86,1,287,21,
2477628,Modern River-Arts Cottage - Near Downtown/Mission,8035294,Alicia,,28801,35.58924,-82.56835,Entire home/apt,225,60,196,2024-04-30,1.58,2,228,1,
2569529,Downtown Asheville 2 bed/2bath unit for rent,8671251,Heather,,28801,35.6011,-82.55586,Entire home/apt,85,180,10,2016-07-04,0.08,1,365,0,
2925486,Unique 1-bdrm apt big yard-near Downtown-pets ok,14937363,Melanie,,28805,35.58627,-82.50244,Entire home/apt,130,1,371,2024-05-29,3.01,1,197,12,
3040444,Private Suite Walk to Downtown,12874214,David,,28801,35.60329,-82.55617,Entire home/apt,101,2,679,2024-06-16,5.55,2,349,55,
3084395,Asheville Modern Tree Top Bungalow w/ fire table!,15694798,Josh,,28804,35.62443,-82.52845,Entire home/apt,150,1,344,2024-04-29,2.81,2,300,18,
3095136,Spivey Mountain Cabin w/Hot Tub / Fire  Table/WiFi,15694798,Josh,,28806,35.59502,-82.63916,Entire home/apt,219,1,417,2024-01-15,3.40,2,246,6,
3220474,Guest Room: Mountainside Private Room & Pvt. Bath,16296123,Allison & Peter,,28803,35.49167,-82.51505,Private room,44,1,911,2024-04-30,7.49,3,48,38,
3225871,Little forest 5 mins from airport,16293519,Ellen,,28732,35.44101,-82.50573,Entire home/apt,50,1,89,2019-09-16,0.90,1,20,0,
3268055,Cedar Springs Farm Apartment- Close to town!,167473,Kelly,,28806,35.58865,-82.63812,Entire home/apt,82,2,181,2022-11-06,1.49,2,357,0,
3314819,Basement: Mountainside Private Room & Private Bath,16296123,Allison & Peter,,28803,35.49233,-82.51495,Private room,47,1,1333,2024-06-03,10.95,3,42,134,
3369973,Nana's Place is minutes from everything!,12087030,Marie,,28803,35.58215,-82.5475,Entire home/apt,248,2,262,2024-05-06,2.71,1,114,10,
3405282,The Cabin In Grove Park,17173574,Scott & Catherine,,28801,35.61206,-82.5441,Entire home/apt,80,30,24,2024-01-31,0.22,1,50,2,
3445336,Bungalow in Downtown Asheville,17363326,Michael,,28801,35.59183,-82.54626,Entire home/apt,150,30,0,,,2,365,0,
